dataset,method,display_name,mean_test_acc,std_test_acc,delta_vs_default_sgc,wins_vs_default_sgc,losses_vs_default_sgc,ties_vs_default_sgc,n_runs
chameleon,selective_graph_correction,Selective correction,0.4627,0.0000,+0.0000,0,0,1,1
chameleon,selective_graph_correction_structural,UG-SGC-S structural,0.4671,0.0000,+0.0044,1,0,0,1
chameleon,sgcs_margin_gate_only,UG-SGC-S without structure-aware gate,0.4671,0.0000,+0.0044,1,0,0,1
chameleon,sgcs_no_far,UG-SGC-S near only,0.4649,0.0000,+0.0022,1,0,0,1
chameleon,sgcs_far_only,UG-SGC-S far only,0.4671,0.0000,+0.0044,1,0,0,1
citeseer,selective_graph_correction,Selective correction,0.6877,0.0000,+0.0000,0,0,1,1
citeseer,selective_graph_correction_structural,UG-SGC-S structural,0.6907,0.0000,+0.0030,1,0,0,1
citeseer,sgcs_margin_gate_only,UG-SGC-S without structure-aware gate,0.6922,0.0000,+0.0045,1,0,0,1
citeseer,sgcs_no_far,UG-SGC-S near only,0.6847,0.0000,-0.0030,0,1,0,1
citeseer,sgcs_far_only,UG-SGC-S far only,0.6832,0.0000,-0.0045,0,1,0,1
cora,selective_graph_correction,Selective correction,0.7284,0.0000,+0.0000,0,0,1,1
cora,selective_graph_correction_structural,UG-SGC-S structural,0.7304,0.0000,+0.0020,1,0,0,1
cora,sgcs_margin_gate_only,UG-SGC-S without structure-aware gate,0.7304,0.0000,+0.0020,1,0,0,1
cora,sgcs_no_far,UG-SGC-S near only,0.7183,0.0000,-0.0101,0,1,0,1
cora,sgcs_far_only,UG-SGC-S far only,0.7223,0.0000,-0.0060,0,1,0,1
pubmed,selective_graph_correction,Selective correction,0.8803,0.0000,+0.0000,0,0,1,1
pubmed,selective_graph_correction_structural,UG-SGC-S structural,0.8780,0.0000,-0.0023,0,1,0,1
pubmed,sgcs_margin_gate_only,UG-SGC-S without structure-aware gate,0.8785,0.0000,-0.0018,0,1,0,1
pubmed,sgcs_no_far,UG-SGC-S near only,0.8753,0.0000,-0.0051,0,1,0,1
pubmed,sgcs_far_only,UG-SGC-S far only,0.8773,0.0000,-0.0030,0,1,0,1
