dataset,method,n_runs,n_runs_with_test_acc,mean_test_acc,std_test_acc,mean_total_runtime_sec,success_count,total_count,parameter_source_values,parameter_tuning_target_method_values
cora,mlp_only,30,30,0.7078470846017202,0.02080266142907164,0.9412836731023465,30,30,['mlp_only_self_tuned'],['mlp_only']
cora,prop_only,30,30,0.8173038229376258,0.022961146705902487,35.41033067146782,30,30,['tuned_on_predictclass_then_reused'],['predictclass']
cora,selective_graph_correction,30,30,0.7431924882629108,0.020751243075662576,0.10853413269602849,30,30,['validation_selected_threshold_and_weights'],['selective_graph_correction']
citeseer,mlp_only,30,30,0.6857621828715007,0.020375234325940995,1.6459623438015114,30,30,['mlp_only_self_tuned'],['mlp_only']
citeseer,prop_only,30,30,0.6902834438211797,0.02788858976864144,89.13840136646371,30,30,['tuned_on_predictclass_then_reused'],['predictclass']
citeseer,selective_graph_correction,30,30,0.7101913233988706,0.022335899051753233,0.21463815132932115,30,30,['validation_selected_threshold_and_weights'],['selective_graph_correction']
chameleon,mlp_only,30,30,0.4591374297936757,0.01847391523506919,0.9640917839346609,30,30,['mlp_only_self_tuned'],['mlp_only']
chameleon,prop_only,30,30,0.3960526315789474,0.037850817900246976,49.96562519603079,30,30,['tuned_on_predictclass_then_reused'],['predictclass']
chameleon,selective_graph_correction,30,30,0.4598684210526315,0.019451725541754887,0.28291561756729305,30,30,['validation_selected_threshold_and_weights'],['selective_graph_correction']
texas,mlp_only,30,30,0.7792792856693268,0.05542553938307913,0.22041503983200528,30,30,['mlp_only_self_tuned'],['mlp_only']
texas,prop_only,30,30,0.5684684684684683,0.09905404381188776,1.3622889884660254,30,30,['tuned_on_predictclass_then_reused'],['predictclass']
texas,selective_graph_correction,30,30,0.7774774774774775,0.05655620221880903,0.006308487040223553,30,30,['validation_selected_threshold_and_weights'],['selective_graph_correction']
wisconsin,mlp_only,30,30,0.8549019694328308,0.04738449118976043,0.24264360626014725,30,30,['mlp_only_self_tuned'],['mlp_only']
wisconsin,prop_only,30,30,0.5398692810457516,0.08662041964459771,1.8083074993366608,30,30,['tuned_on_predictclass_then_reused'],['predictclass']
wisconsin,selective_graph_correction,30,30,0.8516339869281047,0.04658897617567775,0.008720985432349455,30,30,['validation_selected_threshold_and_weights'],['selective_graph_correction']
