dataset,split_id,bucket,n_test_nodes,mlp_acc,final_v3_acc,gcn_acc,appnp_acc,final_v3_delta_vs_mlp,gcn_delta_vs_mlp,appnp_delta_vs_mlp,final_v3_changed_fraction,final_v3_beneficial_change_count,final_v3_harmful_change_count,final_v3_harmful_overwrite_rate,final_v3_correction_precision
cora,0,low,166,0.4397590361445783,0.5240963855421686,0.8132530120481928,0.8072289156626506,0.08433734939759036,0.3734939759036145,0.36746987951807236,0.13855421686746988,17,3,0.13043478260869565,0.85
cora,0,medium,165,0.7212121212121212,0.7212121212121212,0.8242424242424242,0.8303030303030303,0.0,0.10303030303030303,0.10909090909090913,0.0,0,0,0.0,0.0
cora,0,high,166,0.9156626506024096,0.9156626506024096,0.9457831325301205,0.9457831325301205,0.0,0.030120481927710885,0.030120481927710885,0.0,0,0,0.0,0.0
cora,1,low,166,0.42168674698795183,0.5180722891566265,0.8132530120481928,0.8373493975903614,0.09638554216867468,0.39156626506024095,0.4156626506024096,0.12048192771084337,18,2,0.1,0.9
cora,1,medium,165,0.7151515151515152,0.7151515151515152,0.8727272727272727,0.8909090909090909,0.0,0.15757575757575748,0.17575757575757567,0.0,0,0,0.0,0.0
cora,1,high,166,0.9578313253012049,0.9578313253012049,0.963855421686747,0.9819277108433735,0.0,0.0060240963855421326,0.02409638554216864,0.0,0,0,0.0,0.0
cora,2,low,166,0.5060240963855421,0.5783132530120482,0.8012048192771084,0.7831325301204819,0.07228915662650603,0.29518072289156627,0.27710843373493976,0.08433734939759036,13,1,0.07142857142857142,0.9285714285714286
cora,2,medium,165,0.7818181818181819,0.7818181818181819,0.9090909090909091,0.9090909090909091,0.0,0.1272727272727272,0.1272727272727272,0.0,0,0,0.0,0.0
cora,2,high,166,0.9397590361445783,0.9397590361445783,0.9457831325301205,0.9518072289156626,0.0,0.0060240963855421326,0.012048192771084265,0.0,0,0,0.0,0.0
citeseer,0,low,222,0.4099099099099099,0.481981981981982,0.6351351351351351,0.6171171171171171,0.07207207207207211,0.2252252252252252,0.20720720720720726,0.13513513513513514,21,5,0.16666666666666666,0.8076923076923077
citeseer,0,medium,222,0.6756756756756757,0.6756756756756757,0.7342342342342343,0.7342342342342343,0.0,0.05855855855855863,0.05855855855855863,0.0,0,0,0.0,0.0
citeseer,0,high,222,0.9144144144144144,0.9144144144144144,0.9054054054054054,0.9099099099099099,0.0,-0.009009009009009028,-0.0045045045045044585,0.0,0,0,0.0,0.0
citeseer,1,low,222,0.44144144144144143,0.49099099099099097,0.6981981981981982,0.6441441441441441,0.04954954954954954,0.25675675675675674,0.2027027027027027,0.12612612612612611,17,6,0.21428571428571427,0.7391304347826086
citeseer,1,medium,222,0.7612612612612613,0.7612612612612613,0.7342342342342343,0.7477477477477478,0.0,-0.027027027027026973,-0.013513513513513487,0.0,0,0,0.0,0.0
citeseer,1,high,222,0.8828828828828829,0.8828828828828829,0.8828828828828829,0.8918918918918919,0.0,0.0,0.009009009009009028,0.0,0,0,0.0,0.0
citeseer,2,low,222,0.40540540540540543,0.5,0.6126126126126126,0.6216216216216216,0.09459459459459457,0.20720720720720714,0.21621621621621617,0.16216216216216217,26,5,0.1388888888888889,0.8387096774193549
citeseer,2,medium,222,0.7027027027027027,0.7027027027027027,0.7387387387387387,0.7387387387387387,0.0,0.036036036036036,0.036036036036036,0.0,0,0,0.0,0.0
citeseer,2,high,222,0.8918918918918919,0.8918918918918919,0.8783783783783784,0.8828828828828829,0.0,-0.013513513513513487,-0.009009009009009028,0.0,0,0,0.0,0.0
pubmed,0,low,1315,0.688212927756654,0.7231939163498099,0.6889733840304183,0.6722433460076046,0.034980988593155904,0.0007604562737643095,-0.01596958174904939,0.09581749049429658,84,38,0.30158730158730157,0.6885245901639344
pubmed,0,medium,1314,0.9269406392694064,0.9269406392694064,0.8599695585996956,0.8394216133942162,0.0,-0.0669710806697108,-0.08751902587519023,0.0,0,0,0.0,0.0
pubmed,0,high,1315,0.9809885931558935,0.9809885931558935,0.9460076045627377,0.935361216730038,0.0,-0.03498098859315579,-0.04562737642585546,0.0,0,0,0.0,0.0
pubmed,1,low,1315,0.7163498098859316,0.7543726235741445,0.6935361216730038,0.6752851711026616,0.03802281368821292,-0.02281368821292773,-0.041064638783269936,0.08669201520912548,80,30,0.2631578947368421,0.7272727272727273
pubmed,1,medium,1314,0.9307458143074582,0.9307458143074582,0.8538812785388128,0.8401826484018264,0.0,-0.07686453576864538,-0.09056316590563174,0.0,0,0,0.0,0.0
pubmed,1,high,1315,0.9825095057034221,0.9825095057034221,0.9490494296577947,0.929277566539924,0.0,-0.033460076045627396,-0.05323193916349811,0.0,0,0,0.0,0.0
pubmed,2,low,1315,0.7057034220532319,0.7467680608365019,0.6935361216730038,0.6730038022813688,0.04106463878327005,-0.012167300380228063,-0.03269961977186309,0.09049429657794676,85,31,0.2605042016806723,0.7327586206896551
pubmed,2,medium,1314,0.928462709284627,0.928462709284627,0.8546423135464232,0.8432267884322678,0.0,-0.07382039573820387,-0.0852359208523592,0.0,0,0,0.0,0.0
pubmed,2,high,1315,0.9749049429657795,0.9749049429657795,0.9262357414448669,0.9201520912547528,0.0,-0.048669201520912586,-0.05475285171102662,0.0,0,0,0.0,0.0
chameleon,0,low,152,0.40789473684210525,0.40789473684210525,0.5131578947368421,0.4407894736842105,0.0,0.10526315789473689,0.032894736842105254,0.03289473684210526,2,2,0.4,0.5
chameleon,0,medium,152,0.375,0.375,0.5197368421052632,0.40131578947368424,0.0,0.14473684210526316,0.026315789473684237,0.0,0,0,0.0,0.0
chameleon,0,high,152,0.5855263157894737,0.5855263157894737,0.7171052631578947,0.6052631578947368,0.0,0.13157894736842102,0.019736842105263164,0.0,0,0,0.0,0.0
chameleon,1,low,152,0.375,0.375,0.5460526315789473,0.47368421052631576,0.0,0.17105263157894735,0.09868421052631576,0.0,0,0,0.0,0.0
chameleon,1,medium,152,0.3881578947368421,0.3881578947368421,0.5789473684210527,0.4868421052631579,0.0,0.19078947368421056,0.09868421052631582,0.0,0,0,0.0,0.0
chameleon,1,high,152,0.6381578947368421,0.6381578947368421,0.6381578947368421,0.4868421052631579,0.0,0.0,-0.15131578947368424,0.0,0,0,0.0,0.0
chameleon,2,low,152,0.3881578947368421,0.40131578947368424,0.4407894736842105,0.40131578947368424,0.013157894736842146,0.05263157894736842,0.013157894736842146,0.05263157894736842,2,0,0.0,1.0
chameleon,2,medium,152,0.3355263157894737,0.3355263157894737,0.4868421052631579,0.4144736842105263,0.0,0.15131578947368424,0.07894736842105265,0.0,0,0,0.0,0.0
chameleon,2,high,152,0.618421052631579,0.618421052631579,0.5592105263157895,0.5197368421052632,0.0,-0.05921052631578949,-0.09868421052631582,0.0,0,0,0.0,0.0
texas,0,low,13,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.0,0.07692307692307687,0.0,0.15384615384615385,0,0,0.0,0.0
texas,0,medium,12,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.5833333333333334,0.0,-0.25,-0.33333333333333326,0.0,0,0,0.0,0.0
texas,0,high,12,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.0,-0.08333333333333326,-0.08333333333333326,0.0,0,0,0.0,0.0
texas,1,low,13,0.9230769230769231,1.0,0.5384615384615384,0.5384615384615384,0.07692307692307687,-0.3846153846153847,-0.3846153846153847,0.07692307692307693,1,0,0.0,1.0
texas,1,medium,12,0.9166666666666666,0.9166666666666666,0.5,0.5,0.0,-0.41666666666666663,-0.41666666666666663,0.0,0,0,0.0,0.0
texas,1,high,12,1.0,1.0,0.6666666666666666,0.5833333333333334,0.0,-0.33333333333333337,-0.41666666666666663,0.0,0,0,0.0,0.0
texas,2,low,13,0.8461538461538461,0.8461538461538461,0.46153846153846156,0.38461538461538464,0.0,-0.3846153846153846,-0.4615384615384615,0.0,0,0,0.0,0.0
texas,2,medium,12,0.75,0.75,0.3333333333333333,0.4166666666666667,0.0,-0.4166666666666667,-0.3333333333333333,0.0,0,0,0.0,0.0
texas,2,high,12,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.0,-0.25,-0.25,0.0,0,0,0.0,0.0
wisconsin,0,low,17,0.5882352941176471,0.5882352941176471,0.47058823529411764,0.35294117647058826,0.0,-0.11764705882352944,-0.23529411764705882,0.0,0,0,0.0,0.0
wisconsin,0,medium,17,0.8823529411764706,0.8823529411764706,0.47058823529411764,0.5294117647058824,0.0,-0.4117647058823529,-0.3529411764705882,0.0,0,0,0.0,0.0
wisconsin,0,high,17,0.9411764705882353,0.9411764705882353,0.7058823529411765,0.8235294117647058,0.0,-0.23529411764705876,-0.11764705882352944,0.0,0,0,0.0,0.0
wisconsin,1,low,17,0.4117647058823529,0.4117647058823529,0.47058823529411764,0.17647058823529413,0.0,0.05882352941176472,-0.2352941176470588,0.0,0,0,0.0,0.0
wisconsin,1,medium,17,0.9411764705882353,0.9411764705882353,0.7058823529411765,0.7058823529411765,0.0,-0.23529411764705876,-0.23529411764705876,0.0,0,0,0.0,0.0
wisconsin,1,high,17,1.0,1.0,0.8235294117647058,0.8823529411764706,0.0,-0.17647058823529416,-0.11764705882352944,0.0,0,0,0.0,0.0
wisconsin,2,low,17,0.5882352941176471,0.5882352941176471,0.29411764705882354,0.35294117647058826,0.0,-0.29411764705882354,-0.23529411764705882,0.0,0,0,0.0,0.0
wisconsin,2,medium,17,0.8823529411764706,0.8823529411764706,0.47058823529411764,0.6470588235294118,0.0,-0.4117647058823529,-0.23529411764705876,0.0,0,0,0.0,0.0
wisconsin,2,high,17,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.8823529411764706,0.0,-0.11764705882352944,-0.05882352941176472,0.0,0,0,0.0,0.0
