dataset,split,num_nodes,num_edges,num_classes,avg_degree,degree_std,degree_var,density,edge_homophily,regime_note,mlp_acc,final_v3_acc,gcn_acc,appnp_acc,final_v3_minus_mlp,final_v3_minus_gcn,final_v3_minus_appnp,low_confidence_bucket_gain_vs_mlp,changed_fraction,harmful_overwrite_count,harmful_overwrite_rate,correction_precision_changed,uncertainty_gated_coverage,reliability_gated_coverage
chameleon,0,2277,62792,5,27.58,,,,0.231,heterophilic,0.4407894736842105,0.4407894736842105,0.655701756477356,0.5657894611358643,0.0,-0.21491228279314545,-0.12499998745165375,,0.2149122807017544,1,0.5,0.5,0.2149122807017544,0.2149122807017544
chameleon,1,2277,62792,5,27.58,,,,0.231,heterophilic,0.4649122807017544,0.4649122807017544,0.6820175647735596,0.5285087823867798,0.0,-0.21710528407180518,-0.0635965016850254,,0.0043859649122807015,0,0.0,1.0,0.021929824561403466,0.0043859649122807015
chameleon,2,2277,62792,5,27.58,,,,0.231,heterophilic,0.45394736842105265,0.45394736842105265,0.6206140518188477,0.5394737124443054,0.0,-0.166666683397795,-0.08552634402325276,,0.06359649122807018,3,0.5,0.5,0.07017543859649122,0.06359649122807018
chameleon,3,2277,62792,5,27.58,,,,0.231,heterophilic,0.5109649122807017,0.5153508771929824,0.6425438523292542,0.5767543911933899,0.004385964912280715,-0.1271929751362717,-0.061403514000407444,,0.021929824561403508,0,0.0,1.0,0.021929824561403466,0.021929824561403508
chameleon,4,2277,62792,5,27.58,,,,0.231,heterophilic,0.4868421052631579,0.4824561403508772,0.655701756477356,0.5460526347160339,-0.004385964912280715,-0.17324561612647876,-0.06359649436515674,,0.04824561403508772,2,1.0,0.0,0.11403508771929827,0.04824561403508772
chameleon,5,2277,62792,5,27.58,,,,0.231,heterophilic,0.4649122807017544,0.4649122807017544,0.640350878238678,0.5526315569877625,0.0,-0.1754385975369236,-0.08771927628600806,,0.04824561403508772,1,0.5,0.5,,0.04824561403508772
chameleon,6,2277,62792,5,27.58,,,,0.231,heterophilic,0.4473684210526316,0.4473684210526316,0.625,0.5175438523292542,0.0,-0.17763157894736842,-0.07017543127662257,,0.05263157894736842,1,0.5,0.5,,0.05263157894736842
chameleon,7,2277,62792,5,27.58,,,,0.231,heterophilic,0.44298245614035087,0.4451754385964912,0.609649121761322,0.530701756477356,0.0021929824561403577,-0.1644736831648308,-0.08552631788086473,,0.03070175438596491,1,0.3333333333333333,0.6666666666666666,,0.03070175438596491
chameleon,8,2277,62792,5,27.58,,,,0.231,heterophilic,0.4868421052631579,0.4868421052631579,0.6666666865348816,0.5460526347160339,0.0,-0.17982458127172368,-0.059210529452876026,,0.015350877192982455,0,0.0,0.0,,0.015350877192982455
chameleon,9,2277,62792,5,27.58,,,,0.231,heterophilic,0.43201754385964913,0.43201754385964913,0.6710526347160339,0.5131579041481018,0.0,-0.2390350908563848,-0.08114036028845267,,0.08333333333333333,0,0.0,0.0,,0.08333333333333333
citeseer,0,3327,9104,6,2.74,,,,0.736,homophilic,0.6666666666666666,0.6816816816816816,0.7567567825317383,0.7387387156486511,0.01501501501501501,-0.07507510085005664,-0.057057033966969484,,0.2132132132132132,4,0.2222222222222222,0.7777777777777778,0.26726726726726724,0.2132132132132132
citeseer,1,3327,9104,6,2.74,,,,0.736,homophilic,0.6846846846846847,0.7102102102102102,0.7747747898101807,0.7732732892036438,0.02552552552552556,-0.06456457959997042,-0.06306307899343355,,0.22972972972972974,6,0.20689655172413793,0.7931034482758621,0.2642642642642643,0.22972972972972974
citeseer,2,3327,9104,6,2.74,,,,0.736,homophilic,0.6801801801801802,0.6996996996996997,0.7537537813186646,0.7537537813186646,0.019519519519519468,-0.054054081618964855,-0.054054081618964855,,0.10510510510510511,3,0.15789473684210525,0.8421052631578947,0.11561561561561562,0.10510510510510511
citeseer,3,3327,9104,6,2.74,,,,0.736,homophilic,0.6426426426426426,0.6891891891891891,0.7747747898101807,0.7612612843513489,0.04654654654654655,-0.08558560062099152,-0.07207209516215973,,0.22372372372372373,2,0.05714285714285714,0.9428571428571428,0.26126126126126126,0.22372372372372373
citeseer,4,3327,9104,6,2.74,,,,0.736,homophilic,0.6933962264150944,0.7334905660377359,0.7830188870429993,0.775943398475647,0.04009433962264153,-0.04952832100526339,-0.04245283243791109,,0.21226415094339623,3,0.13043478260869565,0.8695652173913043,0.23584905660377353,0.21226415094339623
citeseer,5,3327,9104,6,2.74,,,,0.736,homophilic,0.6816037735849056,0.6933962264150944,0.7405660152435303,0.75,0.011792452830188704,-0.04716978882843592,-0.05660377358490565,,0.2099056603773585,3,0.2727272727272727,0.7272727272727273,,0.2099056603773585
citeseer,6,3327,9104,6,2.74,,,,0.736,homophilic,0.6711711711711712,0.6951951951951952,0.7417417168617249,0.7477477192878723,0.024024024024024038,-0.04654652166652962,-0.05255252409267708,,0.1981981981981982,4,0.16666666666666666,0.8333333333333334,,0.1981981981981982
citeseer,7,3327,9104,6,2.74,,,,0.736,homophilic,0.6876876876876877,0.7042042042042042,0.7807807922363281,0.7867867946624756,0.016516516516516422,-0.07657658803212397,-0.08258259045827143,,0.2072072072072072,5,0.23809523809523808,0.7619047619047619,,0.2072072072072072
citeseer,8,3327,9104,6,2.74,,,,0.736,homophilic,0.6756756756756757,0.7057057057057057,0.7702702879905701,0.7702702879905701,0.03003003003003002,-0.06456458228486439,-0.06456458228486439,,0.2222222222222222,6,0.1875,0.8125,,0.2222222222222222
citeseer,9,3327,9104,6,2.74,,,,0.736,homophilic,0.7132132132132132,0.7432432432432432,0.759759783744812,0.7687687873840332,0.03003003003003002,-0.01651654050156881,-0.025525544140790002,,0.1831831831831832,3,0.11538461538461539,0.8846153846153846,,0.1831831831831832
cora,0,2708,10556,7,3.9,,,,0.81,homophilic,0.6901408450704225,0.7183098591549296,0.8692153096199036,0.8712273836135864,0.028169014084507116,-0.15090545046497394,-0.1529175244586568,,0.2515090543259557,0,0.0,1.0,0.2655935613682092,0.2515090543259557
cora,1,2708,10556,7,3.9,,,,0.81,homophilic,0.7303822937625755,0.7484909456740443,0.8873239159584045,0.895372211933136,0.01810865191146882,-0.13883297028436026,-0.1468812662590917,,0.24748490945674045,4,0.23529411764705882,0.7647058823529411,0.2676056338028169,0.24748490945674045
cora,2,2708,10556,7,3.9,,,,0.81,homophilic,0.7424547283702213,0.7665995975855131,0.8873239159584045,0.8933601379394531,0.024144869215291798,-0.12072431837289144,-0.12676054035394002,,0.19114688128772636,1,0.07142857142857142,0.9285714285714286,0.21126760563380287,0.19114688128772636
cora,3,2708,10556,7,3.9,,,,0.81,homophilic,0.6981891348088531,0.7464788732394366,0.8792756795883179,0.8752515316009521,0.048289738430583484,-0.13279680634888125,-0.12877265836151552,,0.23943661971830985,0,0.0,1.0,0.2655935613682092,0.23943661971830985
cora,4,2708,10556,7,3.9,,,,0.81,homophilic,0.7766599597585513,0.7907444668008048,0.863179087638855,0.8531187176704407,0.014084507042253502,-0.07243462083805019,-0.06237425086963588,,0.24748490945674045,2,0.18181818181818182,0.8181818181818182,0.2816901408450704,0.24748490945674045
cora,5,2708,10556,7,3.9,,,,0.81,homophilic,0.7062374245472837,0.7344064386317908,0.8752515316009521,0.8792756795883179,0.028169014084507116,-0.14084509296916137,-0.1448692409565271,,0.19919517102615694,1,0.0625,0.9375,,0.19919517102615694
cora,6,2708,10556,7,3.9,,,,0.81,homophilic,0.7002012072434608,0.7203219315895373,0.8672032356262207,0.8712273836135864,0.02012072434607648,-0.14688130403668342,-0.15090545202404915,,0.26961770623742454,0,0.0,1.0,,0.26961770623742454
cora,7,2708,10556,7,3.9,,,,0.81,homophilic,0.6921529175050302,0.7263581488933601,0.8732394576072693,0.895372211933136,0.03420523138832998,-0.14688130871390914,-0.16901406303977584,,0.22132796780684105,2,0.09523809523809523,0.9047619047619048,,0.22132796780684105
cora,8,2708,10556,7,3.9,,,,0.81,homophilic,0.6941649899396378,0.7323943661971831,0.8732394576072693,0.877263605594635,0.0382293762575453,-0.14084509141008617,-0.1448692393974519,,0.2716297786720322,2,0.08695652173913043,0.9130434782608695,,0.2716297786720322
cora,9,2708,10556,7,3.9,,,,0.81,homophilic,0.6961770623742455,0.7323943661971831,0.8712273836135864,0.8752515316009521,0.03621730382293764,-0.1388330174164033,-0.14285716540376903,,0.22937625754527163,1,0.05,0.95,,0.22937625754527163
pubmed,0,19717,88648,3,8.992037328193945,,,,0.802,,0.8676470588235294,0.8798174442190669,0.8818458318710327,0.8803245425224304,0.012170385395537497,-0.0020283876519657795,-0.0005070983033634846,,0.23782961460446247,39,0.30952380952380953,0.6904761904761905,0.24492900608519275,0.23782961460446247
pubmed,1,19717,88648,3,8.992037328193945,,,,0.802,,0.8742393509127789,0.8914807302231237,0.8815922737121582,0.8846349120140076,0.01724137931034475,0.009888456510965482,0.006845818209116117,,0.23884381338742394,20,0.18518518518518517,0.8148148148148148,0.25076064908722107,0.23884381338742394
pubmed,2,19717,88648,3,8.992037328193945,,,,0.802,,0.8742393509127789,0.8864097363083164,0.8762677311897278,0.8673934936523438,0.012170385395537497,0.010142005118588648,0.01901624265597268,,0.24239350912778904,34,0.29310344827586204,0.7068965517241379,0.2522819472616633,0.24239350912778904
pubmed,3,19717,88648,3,8.992037328193945,,,,0.802,,0.8714503042596349,0.8828600405679513,0.8633367419242859,0.8635902404785156,0.011409736308316432,0.01952329864366542,0.019269800089435685,,0.22996957403651117,34,0.3008849557522124,0.6991150442477876,0.2421399594320487,0.22996957403651117
pubmed,4,19717,88648,3,8.992037328193945,,,,0.802,,0.8770283975659229,0.888184584178499,0.8727180361747742,0.8734787106513977,0.011156186612576113,0.015466548003724823,0.014705873527101287,,0.2309837728194726,34,0.30357142857142855,0.6964285714285714,0.23909736308316432,0.2309837728194726
pubmed,5,19717,88648,3,8.992037328193945,,,,0.802,,0.8734787018255578,0.8864097363083164,0.8777890205383301,0.8709431886672974,0.012931034482758674,0.008620715769986353,0.015466547641019068,,0.23301217038539554,40,0.3053435114503817,0.6946564885496184,,0.23301217038539554
pubmed,6,19717,88648,3,8.992037328193945,,,,0.802,,0.8638438133874239,0.880578093306288,0.8742393255233765,0.8727180361747742,0.016734279918864114,0.006338767782911536,0.007860057131513831,,0.24974645030425963,26,0.22033898305084745,0.7796610169491526,,0.24974645030425963
