method,dataset,n_splits,mean_test_acc,std_test_acc,mean_runtime_sec,mean_n_hurt
ACMII_GCN_PLUSPLUS,chameleon,10,0.481140,0.039827,435.9385,
ACMII_GCN_PLUSPLUS,citeseer,10,0.753346,0.017450,537.8024,
ACMII_GCN_PLUSPLUS,cora,10,0.866600,0.012903,617.6772,
ACMII_GCN_PLUSPLUS,cornell,10,0.743243,0.036595,162.2658,
ACMII_GCN_PLUSPLUS,texas,10,0.851351,0.049754,197.4180,
ACMII_GCN_PLUSPLUS,wisconsin,10,0.823529,0.041337,128.7187,
BASELINE_SGC_V1,chameleon,10,0.467105,0.024398,1.0380,
BASELINE_SGC_V1,citeseer,10,0.706330,0.020508,0.6845,
BASELINE_SGC_V1,cora,10,0.742052,0.026521,0.2578,
BASELINE_SGC_V1,cornell,10,0.708108,0.059487,0.2384,
BASELINE_SGC_V1,texas,10,0.805405,0.080377,0.1685,
BASELINE_SGC_V1,wisconsin,10,0.843137,0.042358,0.1056,
FINAL_V3,chameleon,10,0.466228,0.024403,0.7726,1.80
FINAL_V3,citeseer,10,0.705344,0.021531,0.4409,5.20
FINAL_V3,cora,10,0.739839,0.027162,0.1774,1.20
FINAL_V3,cornell,10,0.708108,0.064715,0.1711,0.20
FINAL_V3,texas,10,0.810811,0.079565,0.0124,0.10
FINAL_V3,wisconsin,10,0.845098,0.042809,0.0173,0.00
GCNII,chameleon,10,0.524342,0.024734,5273.6636,
GCNII,citeseer,10,0.763233,0.016531,2735.9558,
GCNII,cora,10,0.878068,0.009542,3619.6655,
GCNII,cornell,10,0.464865,0.060836,168.5314,
GCNII,texas,10,0.608108,0.060098,150.4154,
GCNII,wisconsin,10,0.698039,0.148813,292.9347,
GeomGCN,chameleon,10,0.663377,0.016090,1282.2079,
GeomGCN,citeseer,10,0.741592,0.009185,626.9769,
GeomGCN,cora,10,0.850905,0.013694,464.7657,
GeomGCN,cornell,10,0.694595,0.068670,259.4631,
GeomGCN,texas,10,0.818919,0.052608,245.8601,
GeomGCN,wisconsin,10,0.803922,0.058459,180.0319,
H2GCN,chameleon,10,0.655263,0.012737,1696.7830,
H2GCN,citeseer,10,0.748820,0.016813,892.9434,
H2GCN,cora,10,0.869417,0.010666,444.2656,
H2GCN,cornell,10,0.748649,0.076497,339.7474,
H2GCN,texas,10,0.827027,0.051280,332.8431,
H2GCN,wisconsin,10,0.825490,0.040765,301.0380,
LINKX,chameleon,10,0.585307,0.030130,662.6926,
LINKX,citeseer,10,0.755876,0.022023,800.8557,
LINKX,cora,10,0.845070,0.011461,681.3384,
LINKX,cornell,10,0.748649,0.044227,211.5455,
LINKX,texas,10,0.816216,0.039885,205.6475,
LINKX,wisconsin,10,0.833333,0.061487,166.9898,
MLP_ONLY,chameleon,10,0.466447,0.022437,185.4505,
MLP_ONLY,citeseer,10,0.680529,0.019525,218.6093,
MLP_ONLY,cora,10,0.705634,0.029343,128.8487,
MLP_ONLY,cornell,10,0.713514,0.055827,118.3398,
MLP_ONLY,texas,10,0.805405,0.070708,106.8167,
MLP_ONLY,wisconsin,10,0.843137,0.044329,86.9779,
V2_MULTIBRANCH,chameleon,10,0.465351,0.023682,0.9376,
V2_MULTIBRANCH,citeseer,10,0.705258,0.020402,0.4934,
V2_MULTIBRANCH,cora,10,0.739839,0.027442,0.1894,
V2_MULTIBRANCH,cornell,10,0.708108,0.064715,0.2199,
V2_MULTIBRANCH,texas,10,0.808108,0.080023,0.0165,
V2_MULTIBRANCH,wisconsin,10,0.845098,0.042809,0.0222,
