dataset,split_id,selected_tau,base_selected_rho,rho,delta_rho,test_acc,delta_vs_mlp,fraction_routed_to_correction
cora,0,0.71587,0.3,0.19999999999999998,-0.1,0.7263581488933601,0.03420523138832998,0.289738430583501
cora,0,0.71587,0.3,0.25,-0.05,0.7243460764587525,0.03219315895372232,0.2857142857142857
cora,0,0.71587,0.3,0.3,0.0,0.7203219315895373,0.028169014084507116,0.2676056338028169
cora,0,0.71587,0.3,0.35,0.05,0.716297786720322,0.024144869215291798,0.2575452716297787
cora,0,0.71587,0.3,0.4,0.1,0.7022132796780685,0.010060362173038295,0.19718309859154928
cora,1,0.68542,0.3,0.19999999999999998,-0.1,0.7344064386317908,0.03621730382293764,0.2515090543259557
cora,1,0.68542,0.3,0.25,-0.05,0.7344064386317908,0.03621730382293764,0.24949698189134809
cora,1,0.68542,0.3,0.3,0.0,0.7303822937625755,0.03219315895372232,0.22132796780684105
cora,1,0.68542,0.3,0.35,0.05,0.7283702213279678,0.030181086519114664,0.2112676056338028
cora,1,0.68542,0.3,0.4,0.1,0.7243460764587525,0.026156941649899346,0.16498993963782696
cora,2,0.70031,0.3,0.19999999999999998,-0.1,0.7665995975855131,0.024144869215291798,0.2112676056338028
cora,2,0.70031,0.3,0.25,-0.05,0.7665995975855131,0.024144869215291798,0.2112676056338028
cora,2,0.70031,0.3,0.3,0.0,0.7665995975855131,0.024144869215291798,0.19114688128772636
cora,2,0.70031,0.3,0.35,0.05,0.7665995975855131,0.024144869215291798,0.18309859154929578
cora,2,0.70031,0.3,0.4,0.1,0.7625754527162978,0.02012072434607648,0.14084507042253522
cora,3,0.68736,0.3,0.19999999999999998,-0.1,0.7565392354124748,0.05633802816901401,0.2635814889336016
cora,3,0.68736,0.3,0.25,-0.05,0.7565392354124748,0.05633802816901401,0.2595573440643863
cora,3,0.68736,0.3,0.3,0.0,0.7545271629778671,0.05432595573440635,0.23541247484909456
cora,3,0.68736,0.3,0.35,0.05,0.7525150905432596,0.0523138832997988,0.21730382293762576
cora,3,0.68736,0.3,0.4,0.1,0.7263581488933601,0.026156941649899346,0.15090543259557343
cora,4,0.7344,0.3,0.19999999999999998,-0.1,0.7947686116700201,0.02012072434607648,0.2676056338028169
cora,4,0.7344,0.3,0.25,-0.05,0.7947686116700201,0.02012072434607648,0.2655935613682093
cora,4,0.7344,0.3,0.3,0.0,0.7967806841046278,0.02213279678068414,0.24748490945674045
cora,4,0.7344,0.3,0.35,0.05,0.7987927565392354,0.024144869215291798,0.22736418511066397
cora,4,0.7344,0.3,0.4,0.1,0.7887323943661971,0.014084507042253502,0.1750503018108652
cora,5,0.70234,0.3,0.19999999999999998,-0.1,0.7404426559356136,0.030181086519114664,0.26156941649899396
cora,5,0.70234,0.3,0.25,-0.05,0.7404426559356136,0.030181086519114664,0.25553319919517103
cora,5,0.70234,0.3,0.3,0.0,0.7364185110663984,0.026156941649899457,0.2152917505030181
cora,5,0.70234,0.3,0.35,0.05,0.7364185110663984,0.026156941649899457,0.19517102615694165
cora,5,0.70234,0.3,0.4,0.1,0.7303822937625755,0.02012072434607648,0.1448692152917505
cora,6,0.70813,0.3,0.19999999999999998,-0.1,0.7183098591549296,0.028169014084507116,0.23340040241448692
cora,6,0.70813,0.3,0.25,-0.05,0.7183098591549296,0.028169014084507116,0.22937625754527163
cora,6,0.70813,0.3,0.3,0.0,0.7203219315895373,0.030181086519114775,0.20724346076458752
cora,6,0.70813,0.3,0.35,0.05,0.716297786720322,0.026156941649899457,0.18712273641851107
cora,6,0.70813,0.3,0.4,0.1,0.704225352112676,0.014084507042253502,0.14688128772635814
cora,7,0.67409,0.3,0.19999999999999998,-0.1,0.704225352112676,0.030181086519114664,0.25553319919517103
cora,7,0.67409,0.3,0.25,-0.05,0.704225352112676,0.030181086519114664,0.2535211267605634
cora,7,0.67409,0.3,0.3,0.0,0.7022132796780685,0.028169014084507116,0.21327967806841047
cora,7,0.67409,0.3,0.35,0.05,0.7002012072434608,0.026156941649899457,0.19718309859154928
cora,7,0.67409,0.3,0.4,0.1,0.6901408450704225,0.01609657947686116,0.1448692152917505
cora,8,0.73899,0.3,0.19999999999999998,-0.1,0.7263581488933601,0.03219315895372232,0.2776659959758551
cora,8,0.73899,0.3,0.25,-0.05,0.7263581488933601,0.03219315895372232,0.2776659959758551
cora,8,0.73899,0.3,0.3,0.0,0.7203219315895373,0.026156941649899457,0.2535211267605634
cora,8,0.73899,0.3,0.35,0.05,0.7203219315895373,0.026156941649899457,0.23541247484909456
cora,8,0.73899,0.3,0.4,0.1,0.7203219315895373,0.026156941649899457,0.18309859154929578
cora,9,0.67682,0.3,0.19999999999999998,-0.1,0.7344064386317908,0.030181086519114775,0.2414486921529175
cora,9,0.67682,0.3,0.25,-0.05,0.7344064386317908,0.030181086519114775,0.2414486921529175
cora,9,0.67682,0.3,0.3,0.0,0.7323943661971831,0.028169014084507116,0.22736418511066397
cora,9,0.67682,0.3,0.35,0.05,0.7263581488933601,0.02213279678068414,0.20925553319919518
cora,9,0.67682,0.3,0.4,0.1,0.7243460764587525,0.02012072434607648,0.18108651911468812
citeseer,0,0.3,0.3,0.19999999999999998,-0.1,0.6906906906906907,0.024024024024024038,0.10810810810810811
citeseer,0,0.3,0.3,0.25,-0.05,0.6906906906906907,0.024024024024024038,0.10510510510510511
citeseer,0,0.3,0.3,0.3,0.0,0.6906906906906907,0.024024024024024038,0.09759759759759759
citeseer,0,0.3,0.3,0.35,0.05,0.6906906906906907,0.024024024024024038,0.08558558558558559
citeseer,0,0.3,0.3,0.4,0.1,0.6786786786786787,0.012012012012012074,0.05555555555555555
citeseer,1,0.7299,0.3,0.19999999999999998,-0.1,0.7117117117117117,0.016516516516516422,0.2627627627627628
citeseer,1,0.7299,0.3,0.25,-0.05,0.7132132132132132,0.018018018018017945,0.25375375375375375
citeseer,1,0.7299,0.3,0.3,0.0,0.7117117117117117,0.016516516516516422,0.22672672672672672
citeseer,1,0.7299,0.3,0.35,0.05,0.7102102102102102,0.01501501501501501,0.2087087087087087
citeseer,1,0.7299,0.3,0.4,0.1,0.7027027027027027,0.007507507507507505,0.15315315315315314
citeseer,2,0.67668,0.3,0.19999999999999998,-0.1,0.6981981981981982,0.03153153153153154,0.26576576576576577
citeseer,2,0.67668,0.3,0.25,-0.05,0.6981981981981982,0.03153153153153154,0.2627627627627628
citeseer,2,0.67668,0.3,0.3,0.0,0.6981981981981982,0.03153153153153154,0.24624624624624625
citeseer,2,0.67668,0.3,0.35,0.05,0.6951951951951952,0.028528528528528607,0.22822822822822822
citeseer,2,0.67668,0.3,0.4,0.1,0.6786786786786787,0.012012012012012074,0.16216216216216217
citeseer,3,0.65916,0.3,0.19999999999999998,-0.1,0.6846846846846847,0.027027027027026973,0.25975975975975973
citeseer,3,0.65916,0.3,0.25,-0.05,0.6846846846846847,0.027027027027026973,0.24624624624624625
citeseer,3,0.65916,0.3,0.3,0.0,0.6846846846846847,0.027027027027026973,0.22372372372372373
citeseer,3,0.65916,0.3,0.35,0.05,0.6846846846846847,0.027027027027026973,0.2012012012012012
citeseer,3,0.65916,0.3,0.4,0.1,0.6681681681681682,0.01051051051051044,0.11711711711711711
citeseer,4,0.65493,0.3,0.19999999999999998,-0.1,0.7169811320754716,0.01650943396226412,0.24528301886792453
citeseer,4,0.65493,0.3,0.25,-0.05,0.714622641509434,0.014150943396226467,0.2358490566037736
citeseer,4,0.65493,0.3,0.3,0.0,0.7122641509433962,0.011792452830188704,0.21933962264150944
citeseer,4,0.65493,0.3,0.35,0.05,0.7122641509433962,0.011792452830188704,0.21462264150943397
citeseer,4,0.65493,0.3,0.4,0.1,0.7122641509433962,0.011792452830188704,0.16273584905660377
citeseer,5,0.69027,0.3,0.19999999999999998,-0.1,0.6910377358490566,0.021226415094339646,0.2617924528301887
citeseer,5,0.69027,0.3,0.25,-0.05,0.6910377358490566,0.021226415094339646,0.25943396226415094
citeseer,5,0.69027,0.3,0.3,0.0,0.6886792452830188,0.018867924528301883,0.2099056603773585
citeseer,5,0.69027,0.3,0.35,0.05,0.6886792452830188,0.018867924528301883,0.19811320754716982
citeseer,5,0.69027,0.3,0.4,0.1,0.6863207547169812,0.01650943396226423,0.16037735849056603
citeseer,6,0.70679,0.3,0.19999999999999998,-0.1,0.6996996996996997,0.02102102102102099,0.25375375375375375
citeseer,6,0.70679,0.3,0.25,-0.05,0.6981981981981982,0.019519519519519468,0.24774774774774774
citeseer,6,0.70679,0.3,0.3,0.0,0.6951951951951952,0.016516516516516533,0.22372372372372373
citeseer,6,0.70679,0.3,0.35,0.05,0.6951951951951952,0.016516516516516533,0.21621621621621623
citeseer,6,0.70679,0.3,0.4,0.1,0.6891891891891891,0.01051051051051044,0.14114114114114115
citeseer,7,0.71634,0.3,0.19999999999999998,-0.1,0.7117117117117117,0.03453453453453448,0.28378378378378377
citeseer,7,0.71634,0.3,0.25,-0.05,0.7102102102102102,0.033033033033033066,0.2822822822822823
citeseer,7,0.71634,0.3,0.3,0.0,0.7087087087087087,0.03153153153153154,0.24924924924924924
citeseer,7,0.71634,0.3,0.35,0.05,0.7072072072072072,0.03003003003003002,0.23573573573573572
citeseer,7,0.71634,0.3,0.4,0.1,0.6891891891891891,0.012012012012011963,0.17117117117117117
citeseer,8,0.67104,0.3,0.19999999999999998,-0.1,0.7132132132132132,0.04204204204204198,0.24324324324324326
citeseer,8,0.67104,0.3,0.25,-0.05,0.7147147147147147,0.043543543543543506,0.23123123123123124
citeseer,8,0.67104,0.3,0.3,0.0,0.7117117117117117,0.04054054054054046,0.21171171171171171
citeseer,8,0.67104,0.3,0.35,0.05,0.7117117117117117,0.04054054054054046,0.2012012012012012
citeseer,8,0.67104,0.3,0.4,0.1,0.6861861861861862,0.01501501501501501,0.13363363363363365
citeseer,9,0.65787,0.3,0.19999999999999998,-0.1,0.7627627627627628,0.03453453453453459,0.2147147147147147
citeseer,9,0.65787,0.3,0.25,-0.05,0.7627627627627628,0.03453453453453459,0.21021021021021022
citeseer,9,0.65787,0.3,0.3,0.0,0.7627627627627628,0.03453453453453459,0.1921921921921922
citeseer,9,0.65787,0.3,0.35,0.05,0.7627627627627628,0.03453453453453459,0.18468468468468469
citeseer,9,0.65787,0.3,0.4,0.1,0.7447447447447447,0.016516516516516533,0.14264264264264265
pubmed,0,0.92235,0.3,0.19999999999999998,-0.1,0.8767748478701826,0.011409736308316432,0.24188640973630832
pubmed,0,0.92235,0.3,0.25,-0.05,0.8767748478701826,0.011409736308316432,0.24087221095334685
pubmed,0,0.92235,0.3,0.3,0.0,0.8770283975659229,0.01166328600405675,0.23225152129817445
pubmed,0,0.92235,0.3,0.35,0.05,0.8767748478701826,0.011409736308316432,0.2274340770791075
pubmed,0,0.92235,0.3,0.4,0.1,0.8722109533468559,0.0068458417849898145,0.17976673427991888
pubmed,1,0.91456,0.3,0.19999999999999998,-0.1,0.8889452332657201,0.012423935091277816,0.2507606490872211
pubmed,1,0.91456,0.3,0.25,-0.05,0.8889452332657201,0.012423935091277816,0.24771805273833672
pubmed,1,0.91456,0.3,0.3,0.0,0.8891987829614605,0.012677484787018245,0.23732251521298176
pubmed,1,0.91456,0.3,0.35,0.05,0.8884381338742393,0.011916835699797068,0.23225152129817445
pubmed,1,0.91456,0.3,0.4,0.1,0.8810851926977687,0.004563894523326506,0.18711967545638944
pubmed,2,0.92678,0.3,0.19999999999999998,-0.1,0.8831135902636917,0.013438133874239422,0.25963488843813387
pubmed,2,0.92678,0.3,0.25,-0.05,0.8831135902636917,0.013438133874239422,0.2591277890466531
pubmed,2,0.92678,0.3,0.3,0.0,0.8833671399594321,0.01369168356997974,0.24949290060851928
pubmed,2,0.92678,0.3,0.35,0.05,0.8831135902636917,0.013438133874239422,0.24543610547667344
pubmed,2,0.92678,0.3,0.4,0.1,0.8752535496957403,0.005578093306288001,0.19574036511156187
pubmed,3,0.92393,0.3,0.19999999999999998,-0.1,0.8853955375253549,0.009127789046653123,0.2355476673427992
pubmed,3,0.92393,0.3,0.25,-0.05,0.8853955375253549,0.009127789046653123,0.2347870182555781
pubmed,3,0.92393,0.3,0.3,0.0,0.8856490872210954,0.009381338742393552,0.22337728194726167
pubmed,3,0.92393,0.3,0.35,0.05,0.8859026369168357,0.00963488843813387,0.21830628803245436
pubmed,3,0.92393,0.3,0.4,0.1,0.8803245436105477,0.0040567951318458695,0.1678498985801217
pubmed,4,0.91622,0.3,0.19999999999999998,-0.1,0.8871703853955375,0.013945233265720058,0.23960446247464504
pubmed,4,0.91622,0.3,0.25,-0.05,0.8871703853955375,0.013945233265720058,0.23732251521298176
pubmed,4,0.91622,0.3,0.3,0.0,0.8871703853955375,0.013945233265720058,0.22996957403651117
pubmed,4,0.91622,0.3,0.35,0.05,0.8864097363083164,0.013184584178498993,0.22287018255578092
pubmed,4,0.91622,0.3,0.4,0.1,0.8813387423935092,0.008113590263691739,0.17925963488843813
pubmed,5,0.92625,0.3,0.19999999999999998,-0.1,0.8884381338742393,0.013184584178498993,0.25735294117647056
pubmed,5,0.92625,0.3,0.25,-0.05,0.8884381338742393,0.013184584178498993,0.2565922920892495
pubmed,5,0.92625,0.3,0.3,0.0,0.8884381338742393,0.013184584178498993,0.24974645030425963
pubmed,5,0.92625,0.3,0.35,0.05,0.888184584178499,0.012931034482758674,0.24543610547667344
pubmed,5,0.92625,0.3,0.4,0.1,0.8823529411764706,0.007099391480730244,0.1904158215010142
pubmed,6,0.93317,0.3,0.19999999999999998,-0.1,0.8851419878296146,0.01597363083164305,0.2578600405679513
pubmed,6,0.93317,0.3,0.25,-0.05,0.8851419878296146,0.01597363083164305,0.2558316430020284
pubmed,6,0.93317,0.3,0.3,0.0,0.8843813387423936,0.015212981744421983,0.24695740365111563
