dataset,split_id,method,bin_type,bin_label,n_nodes,frac_corrected,n_helped,n_hurt,net_help,frac_routed_1hop,frac_routed_2hop,H1,H2,DeltaH
chameleon,0,FINAL_V3,margin,very_low,22,0.9545,0,0,0,,,,,
chameleon,0,FINAL_V3,margin,low,86,0.0,0,0,0,,,,,
chameleon,0,FINAL_V3,margin,medium,60,0.0,0,0,0,,,,,
chameleon,0,FINAL_V3,margin,high,288,0.0,0,0,0,,,,,
chameleon,0,FINAL_V3,degree,0-2,37,0.0541,0,0,0,,,,,
chameleon,0,FINAL_V3,degree,3-5,72,0.0417,0,0,0,,,,,
chameleon,0,FINAL_V3,degree,6-10,93,0.0538,0,0,0,,,,,
chameleon,0,FINAL_V3,degree,>10,254,0.0433,0,0,0,,,,,
chameleon,0,MS_HSGC,margin,very_low,22,0.0909,0,0,0,,,0.7686,0.7611,0.0075
chameleon,0,MS_HSGC,margin,low,86,0.0,0,0,0,,,0.7602,0.7278,0.0324
chameleon,0,MS_HSGC,margin,medium,60,0.0,0,0,0,,,0.7884,0.7662,0.0222
chameleon,0,MS_HSGC,margin,high,288,0.0,0,0,0,,,0.7458,0.7101,0.0357
chameleon,0,MS_HSGC,degree,0-2,37,0.0,0,0,0,,,,,
chameleon,0,MS_HSGC,degree,3-5,72,0.0,0,0,0,,,,,
chameleon,0,MS_HSGC,degree,6-10,93,0.0108,0,0,0,,,,,
chameleon,0,MS_HSGC,degree,>10,254,0.0039,0,0,0,,,,,
chameleon,0,MS_HSGC,hetero_H1,Q1_low,113,0.0,0,0,0,0.0,0.0,,,
chameleon,0,MS_HSGC,hetero_H1,Q2_mid,115,0.0,0,0,0,0.0,0.0,,,
chameleon,0,MS_HSGC,hetero_H1,Q3_mid,114,0.0,0,0,0,0.0,0.0,,,
chameleon,0,MS_HSGC,hetero_H1,Q4_high,114,0.0175,0,0,0,0.0,0.0175,,,
chameleon,0,MS_HSGC,hetero_H2,Q1_low,114,0.0088,0,0,0,0.0,0.0088,,,
chameleon,0,MS_HSGC,hetero_H2,Q2_mid,114,0.0088,0,0,0,0.0,0.0088,,,
chameleon,0,MS_HSGC,hetero_H2,Q3_mid,114,0.0,0,0,0,0.0,0.0,,,
chameleon,0,MS_HSGC,hetero_H2,Q4_high,114,0.0,0,0,0,0.0,0.0,,,
chameleon,0,MS_HSGC,hetero_DeltaH,Q1_low,114,0.0,0,0,0,0.0,0.0,,,
chameleon,0,MS_HSGC,hetero_DeltaH,Q2_mid,114,0.0,0,0,0,0.0,0.0,,,
chameleon,0,MS_HSGC,hetero_DeltaH,Q3_mid,114,0.0,0,0,0,0.0,0.0,,,
chameleon,0,MS_HSGC,hetero_DeltaH,Q4_high,114,0.0175,0,0,0,0.0,0.0175,,,
squirrel,0,FINAL_V3,margin,very_low,67,0.9552,3,4,-1,,,,,
squirrel,0,FINAL_V3,margin,low,116,0.0,0,0,0,,,,,
squirrel,0,FINAL_V3,margin,medium,162,0.0,0,0,0,,,,,
squirrel,0,FINAL_V3,margin,high,696,0.0,0,0,0,,,,,
squirrel,0,FINAL_V3,degree,0-2,64,0.0469,0,0,0,,,,,
squirrel,0,FINAL_V3,degree,3-5,128,0.0312,1,0,1,,,,,
squirrel,0,FINAL_V3,degree,6-10,180,0.0889,1,3,-2,,,,,
squirrel,0,FINAL_V3,degree,>10,669,0.0613,1,1,0,,,,,
squirrel,0,MS_HSGC,margin,very_low,67,0.1493,0,0,0,,,0.7827,0.7935,-0.0108
squirrel,0,MS_HSGC,margin,low,116,0.0,0,0,0,,,0.7926,0.7978,-0.0052
squirrel,0,MS_HSGC,margin,medium,162,0.0,0,0,0,,,0.7831,0.7799,0.0032
squirrel,0,MS_HSGC,margin,high,696,0.0,0,0,0,,,0.782,0.7647,0.0174
squirrel,0,MS_HSGC,degree,0-2,64,0.0156,0,0,0,,,,,
squirrel,0,MS_HSGC,degree,3-5,128,0.0078,0,0,0,,,,,
squirrel,0,MS_HSGC,degree,6-10,180,0.0111,0,0,0,,,,,
squirrel,0,MS_HSGC,degree,>10,669,0.009,0,0,0,,,,,
squirrel,0,MS_HSGC,hetero_H1,Q1_low,260,0.0077,0,0,0,0.0077,0.0,,,
squirrel,0,MS_HSGC,hetero_H1,Q2_mid,260,0.0038,0,0,0,0.0,0.0038,,,
squirrel,0,MS_HSGC,hetero_H1,Q3_mid,260,0.0115,0,0,0,0.0,0.0115,,,
squirrel,0,MS_HSGC,hetero_H1,Q4_high,261,0.0153,0,0,0,0.0,0.0153,,,
squirrel,0,MS_HSGC,hetero_H2,Q1_low,260,0.0192,0,0,0,0.0077,0.0115,,,
squirrel,0,MS_HSGC,hetero_H2,Q2_mid,260,0.0077,0,0,0,0.0,0.0077,,,
squirrel,0,MS_HSGC,hetero_H2,Q3_mid,260,0.0038,0,0,0,0.0,0.0038,,,
squirrel,0,MS_HSGC,hetero_H2,Q4_high,261,0.0077,0,0,0,0.0,0.0077,,,
squirrel,0,MS_HSGC,hetero_DeltaH,Q1_low,259,0.0077,0,0,0,0.0077,0.0,,,
squirrel,0,MS_HSGC,hetero_DeltaH,Q2_mid,261,0.0077,0,0,0,0.0,0.0077,,,
squirrel,0,MS_HSGC,hetero_DeltaH,Q3_mid,260,0.0115,0,0,0,0.0,0.0115,,,
squirrel,0,MS_HSGC,hetero_DeltaH,Q4_high,261,0.0115,0,0,0,0.0,0.0115,,,
texas,0,FINAL_V3,margin,very_low,1,0.0,0,0,0,,,,,
texas,0,FINAL_V3,margin,low,2,0.0,0,0,0,,,,,
texas,0,FINAL_V3,margin,medium,9,0.0,0,0,0,,,,,
texas,0,FINAL_V3,margin,high,25,0.0,0,0,0,,,,,
texas,0,FINAL_V3,degree,0-2,20,0.0,0,0,0,,,,,
texas,0,FINAL_V3,degree,3-5,13,0.0,0,0,0,,,,,
texas,0,FINAL_V3,degree,6-10,2,0.0,0,0,0,,,,,
texas,0,FINAL_V3,degree,>10,2,0.0,0,0,0,,,,,
texas,0,MS_HSGC,margin,very_low,1,0.0,0,0,0,,,0.8704,0.4004,0.4699
texas,0,MS_HSGC,margin,low,2,0.0,0,0,0,,,0.8776,0.7614,0.1162
texas,0,MS_HSGC,margin,medium,9,0.0,0,0,0,,,0.8081,0.5849,0.2233
texas,0,MS_HSGC,margin,high,25,0.0,0,0,0,,,0.8544,0.4607,0.3937
texas,0,MS_HSGC,degree,0-2,20,0.0,0,0,0,,,,,
